datetime,block,units,day_type,hour
2025-01-01 00:00:00,Block_A,24.1,Weekday,0
2025-01-01 01:00:00,Block_A,24.54,Weekday,1
2025-01-01 02:00:00,Block_A,22.31,Weekday,2
2025-01-01 03:00:00,Block_A,22.06,Weekday,3
2025-01-01 04:00:00,Block_A,22.21,Weekday,4
2025-01-01 05:00:00,Block_A,22.83,Weekday,5
2025-01-01 06:00:00,Block_A,26.8,Weekday,6
2025-01-01 07:00:00,Block_A,25.54,Weekday,7
2025-01-01 08:00:00,Block_A,27.01,Weekday,8
2025-01-01 09:00:00,Block_A,26.1,Weekday,9
2025-01-01 10:00:00,Block_A,25.77,Weekday,10
2025-01-01 11:00:00,Block_A,24.95,Weekday,11
2025-01-01 12:00:00,Block_A,20.98,Weekday,12
2025-01-01 13:00:00,Block_A,22.58,Weekday,13
2025-01-01 14:00:00,Block_A,21.34,Weekday,14
2025-01-01 15:00:00,Block_A,24.4,Weekday,15
2025-01-01 16:00:00,Block_A,22.19,Weekday,16
2025-01-01 17:00:00,Block_A,21.53,Weekday,17
2025-01-01 18:00:00,Block_A,29.37,Weekday,18
2025-01-01 19:00:00,Block_A,30.58,Weekday,19
2025-01-01 20:00:00,Block_A,28.43,Weekday,20
2025-01-01 21:00:00,Block_A,32.53,Weekday,21
2025-01-01 22:00:00,Block_A,31.33,Weekday,22
2025-01-01 23:00:00,Block_A,22.42,Weekday,23
2025-01-02 00:00:00,Block_A,22.17,Weekday,0
2025-01-02 01:00:00,Block_A,23.72,Weekday,1
2025-01-02 02:00:00,Block_A,20.34,Weekday,2
2025-01-02 03:00:00,Block_A,20.61,Weekday,3
2025-01-02 04:00:00,Block_A,23.39,Weekday,4
2025-01-02 05:00:00,Block_A,23.65,Weekday,5
2025-01-02 06:00:00,Block_A,25.7,Weekday,6
2025-01-02 07:00:00,Block_A,23.76,Weekday,7
2025-01-02 08:00:00,Block_A,27.38,Weekday,8
2025-01-02 09:00:00,Block_A,26.88,Weekday,9
2025-01-02 10:00:00,Block_A,26.05,Weekday,10
2025-01-02 11:00:00,Block_A,22.56,Weekday,11
2025-01-02 12:00:00,Block_A,20.71,Weekday,12
2025-01-02 13:00:00,Block_A,23.41,Weekday,13
2025-01-02 14:00:00,Block_A,24.09,Weekday,14
2025-01-02 15:00:00,Block_A,22.64,Weekday,15
2025-01-02 16:00:00,Block_A,20.07,Weekday,16
2025-01-02 17:00:00,Block_A,20.84,Weekday,17
2025-01-02 18:00:00,Block_A,32.03,Weekday,18
2025-01-02 19:00:00,Block_A,32.27,Weekday,19
2025-01-02 20:00:00,Block_A,27.3,Weekday,20
2025-01-02 21:00:00,Block_A,30.11,Weekday,21
2025-01-02 22:00:00,Block_A,28.15,Weekday,22
2025-01-02 23:00:00,Block_A,19.78,Weekday,23
2025-01-03 00:00:00,Block_A,21.38,Weekday,0
2025-01-03 01:00:00,Block_A,20.96,Weekday,1
2025-01-03 02:00:00,Block_A,23.29,Weekday,2
2025-01-03 03:00:00,Block_A,20.5,Weekday,3
2025-01-03 04:00:00,Block_A,23.15,Weekday,4
2025-01-03 05:00:00,Block_A,23.68,Weekday,5
2025-01-03 06:00:00,Block_A,27.76,Weekday,6
2025-01-03 07:00:00,Block_A,28.81,Weekday,7
2025-01-03 08:00:00,Block_A,29.04,Weekday,8
2025-01-03 09:00:00,Block_A,29.69,Weekday,9
2025-01-03 10:00:00,Block_A,24.1,Weekday,10
2025-01-03 11:00:00,Block_A,22.5,Weekday,11
2025-01-03 12:00:00,Block_A,21.1,Weekday,12
2025-01-03 13:00:00,Block_A,24.06,Weekday,13
2025-01-03 14:00:00,Block_A,22.6,Weekday,14
2025-01-03 15:00:00,Block_A,22.87,Weekday,15
2025-01-03 16:00:00,Block_A,21.25,Weekday,16
2025-01-03 17:00:00,Block_A,23.52,Weekday,17
2025-01-03 18:00:00,Block_A,32.57,Weekday,18
2025-01-03 19:00:00,Block_A,33.69,Weekday,19
2025-01-03 20:00:00,Block_A,29.33,Weekday,20
2025-01-03 21:00:00,Block_A,35.38,Weekday,21
2025-01-03 22:00:00,Block_A,31.97,Weekday,22
2025-01-03 23:00:00,Block_A,23.45,Weekday,23
2025-01-04 00:00:00,Block_A,20.78,Weekend,0
2025-01-04 01:00:00,Block_A,23.18,Weekend,1
2025-01-04 02:00:00,Block_A,23.49,Weekend,2
2025-01-04 03:00:00,Block_A,20.29,Weekend,3
2025-01-04 04:00:00,Block_A,20.63,Weekend,4
2025-01-04 05:00:00,Block_A,21.9,Weekend,5
2025-01-04 06:00:00,Block_A,27.43,Weekend,6
2025-01-04 07:00:00,Block_A,29.98,Weekend,7
2025-01-04 08:00:00,Block_A,27.37,Weekend,8
2025-01-04 09:00:00,Block_A,28.56,Weekend,9
2025-01-04 10:00:00,Block_A,24.26,Weekend,10
2025-01-04 11:00:00,Block_A,21.17,Weekend,11
2025-01-04 12:00:00,Block_A,26.2,Weekend,12
2025-01-04 13:00:00,Block_A,22.95,Weekend,13
2025-01-04 14:00:00,Block_A,24.15,Weekend,14
2025-01-04 15:00:00,Block_A,21.81,Weekend,15
2025-01-04 16:00:00,Block_A,21.8,Weekend,16
2025-01-04 17:00:00,Block_A,24.76,Weekend,17
2025-01-04 18:00:00,Block_A,27.35,Weekend,18
2025-01-04 19:00:00,Block_A,30.66,Weekend,19
2025-01-04 20:00:00,Block_A,32.37,Weekend,20
2025-01-04 21:00:00,Block_A,33.68,Weekend,21
2025-01-04 22:00:00,Block_A,29.65,Weekend,22
2025-01-04 23:00:00,Block_A,23.06,Weekend,23
2025-01-05 00:00:00,Block_A,23.69,Weekend,0
2025-01-05 01:00:00,Block_A,23.21,Weekend,1
2025-01-05 02:00:00,Block_A,22.62,Weekend,2
2025-01-05 03:00:00,Block_A,22.43,Weekend,3
2025-01-05 04:00:00,Block_A,21.36,Weekend,4
2025-01-05 05:00:00,Block_A,22.96,Weekend,5
2025-01-05 06:00:00,Block_A,26.78,Weekend,6
2025-01-05 07:00:00,Block_A,26.78,Weekend,7
2025-01-05 08:00:00,Block_A,25.34,Weekend,8
2025-01-05 09:00:00,Block_A,27.65,Weekend,9
2025-01-05 10:00:00,Block_A,26.74,Weekend,10
2025-01-05 11:00:00,Block_A,20.92,Weekend,11
2025-01-05 12:00:00,Block_A,22.39,Weekend,12
2025-01-05 13:00:00,Block_A,18.87,Weekend,13
2025-01-05 14:00:00,Block_A,23.78,Weekend,14
2025-01-05 15:00:00,Block_A,21.84,Weekend,15
2025-01-05 16:00:00,Block_A,22.22,Weekend,16
2025-01-05 17:00:00,Block_A,23.09,Weekend,17
2025-01-05 18:00:00,Block_A,32.12,Weekend,18
2025-01-05 19:00:00,Block_A,29.12,Weekend,19
2025-01-05 20:00:00,Block_A,31.8,Weekend,20
2025-01-05 21:00:00,Block_A,33.21,Weekend,21
2025-01-05 22:00:00,Block_A,33.75,Weekend,22
2025-01-05 23:00:00,Block_A,24.32,Weekend,23
2025-01-06 00:00:00,Block_A,21.81,Weekday,0
2025-01-06 01:00:00,Block_A,24.35,Weekday,1
2025-01-06 02:00:00,Block_A,21.24,Weekday,2
2025-01-06 03:00:00,Block_A,22.71,Weekday,3
2025-01-06 04:00:00,Block_A,22.23,Weekday,4
2025-01-06 05:00:00,Block_A,20.66,Weekday,5
2025-01-06 06:00:00,Block_A,26.96,Weekday,6
2025-01-06 07:00:00,Block_A,25.77,Weekday,7
2025-01-06 08:00:00,Block_A,29.5,Weekday,8
2025-01-06 09:00:00,Block_A,29.67,Weekday,9
2025-01-06 10:00:00,Block_A,24.88,Weekday,10
2025-01-06 11:00:00,Block_A,22.46,Weekday,11
2025-01-06 12:00:00,Block_A,24.43,Weekday,12
2025-01-06 13:00:00,Block_A,20.83,Weekday,13
2025-01-06 14:00:00,Block_A,22.75,Weekday,14
2025-01-06 15:00:00,Block_A,20.61,Weekday,15
2025-01-06 16:00:00,Block_A,24.43,Weekday,16
2025-01-06 17:00:00,Block_A,21.16,Weekday,17
2025-01-06 18:00:00,Block_A,30.39,Weekday,18
2025-01-06 19:00:00,Block_A,30.39,Weekday,19
2025-01-06 20:00:00,Block_A,32.4,Weekday,20
2025-01-06 21:00:00,Block_A,30.76,Weekday,21
2025-01-06 22:00:00,Block_A,32.64,Weekday,22
2025-01-06 23:00:00,Block_A,20.83,Weekday,23
2025-01-07 00:00:00,Block_A,21.35,Weekday,0
2025-01-07 01:00:00,Block_A,23.0,Weekday,1
2025-01-07 02:00:00,Block_A,21.93,Weekday,2
2025-01-07 03:00:00,Block_A,21.06,Weekday,3
2025-01-07 04:00:00,Block_A,22.61,Weekday,4
2025-01-07 05:00:00,Block_A,22.44,Weekday,5
2025-01-07 06:00:00,Block_A,28.04,Weekday,6
2025-01-07 07:00:00,Block_A,26.92,Weekday,7
2025-01-07 08:00:00,Block_A,27.97,Weekday,8
